90 127
131 160
53 90
39 148
98 86
183 33
81 191
173 54
194 173
9 97
24 105
18 39
169 99
143 35
37 21
121 40
106 50
101 109
127 165
91 120
23 63
5 15
4 107
141 104
63 16
40 114
14 186
176 198
118 53
15 2
11 92
3 164
99 49
149 138
108 175
187 182
199 189
66 185
64 0
154 80
181 41
171 27
153 168
138 60
82 18
172 126
103 131
42 116
70 72
146 158
29 157
115 125
132 93
8 124
34 142
87 29
105 152
128 55
159 183
32 101
50 96
157 100
68 5
26 24
20 84
150 56
21 43
69 110
41 147
65 66
75 129
94 162
49 146
133 57
100 163
113 112
167 115
168 122
158 153
46 68
174 58
19 23
6 32
165 177
125 37
27 74
184 38
73 139
166 79
38 30
152 12
135 181
110 190
58 70
52 14
77 161
93 178
86 8
136 194
185 61
